UNIDAD;NEGOCIO;LINEA/PROCESO;Periodo Admon;FUENTE INFORMACIÓN;Suma de VALOR ANTES IVA
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/01;Ejecutado;253076441
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/01;Ppto;500509660,3
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/02;Ppto;141672475,6
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/03;Ppto;213399888,7
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/04;Ppto;283979572,8
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/05;Ppto;271733915,6
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/06;Ppto;312912313,5
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/07;Ppto;215303486,9
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/08;Ppto;294259346,7
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/09;Ppto;659676791,2
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/10;Ppto;402114515,3
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/11;Ppto;433473528,8
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2023/12;Ppto;439127445,6
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;PROYECTOS DE TECNOLOGIA;2023/01;Ejecutado;-6629376
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;PROYECTOS DE TECNOLOGIA;2023/04;Ppto;126490000
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;PROYECTOS DE TECNOLOGIA;2023/05;Ppto;110940000
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;PROYECTOS DE TECNOLOGIA;2023/06;Ppto;123550000
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;PROYECTOS DE TECNOLOGIA;2023/07;Ppto;128950000
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;PROYECTOS DE TECNOLOGIA;2023/08;Ppto;107600000
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;PROYECTOS DE TECNOLOGIA;2023/09;Ppto;49760000
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;PROYECTOS DE TECNOLOGIA;2023/10;Ppto;38250000
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/01;Ejecutado;79657158
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/01;Ppto;139311467
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/02;Ppto;93030782,09
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/03;Ppto;266003531,4
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/04;Ppto;116292748,5
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/05;Ppto;151238284,6
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/06;Ppto;147828839,2
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/07;Ppto;132016619,1
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/08;Ppto;109652905,5
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/09;Ppto;258968620,7
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/10;Ppto;142669132,3
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/11;Ppto;117665952,3
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2023/12;Ppto;174508364,9
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/01;Ejecutado;5454178
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/01;Ppto;9118701,047
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/02;Ppto;4717986,126
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/03;Ppto;12763942,99
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/04;Ppto;8658350,748
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/05;Ppto;8826240,717
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/06;Ppto;6948717,053
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/07;Ppto;6639233,308
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/08;Ppto;5690866,43
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/09;Ppto;42184172,55
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/10;Ppto;6489428,788
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/11;Ppto;6181188,296
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2023/12;Ppto;7657154,837
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/01;Ejecutado;11339510
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/01;Ppto;11551480,59
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/02;Ppto;6106775,974
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/03;Ppto;16488812,14
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/04;Ppto;12971361,73
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/05;Ppto;13055998,35
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/06;Ppto;8817029,475
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/07;Ppto;8594502,029
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/08;Ppto;6985105,327
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/09;Ppto;108428741,8
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/10;Ppto;7421600,905
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/11;Ppto;7503461,376
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2023/12;Ppto;8240037,841
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/01;Ejecutado;220370
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/01;Ppto;1137351,129
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/02;Ppto;580790,3842
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/03;Ppto;678652,0473
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/04;Ppto;569320,9065
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/05;Ppto;595795,0192
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/06;Ppto;359405,1724
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/07;Ppto;248054,4526
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/08;Ppto;233520,8272
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/09;Ppto;578555,2464
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/10;Ppto;227036,3947
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/11;Ppto;236225,498
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2023/12;Ppto;241795,4792
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/01;Ejecutado;52251048
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/01;Ppto;16951326,3
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/02;Ppto;20237031,45
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/03;Ppto;34787785,07
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/04;Ppto;30853149,65
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/05;Ppto;31156050,17
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/06;Ppto;30855638,89
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/07;Ppto;320901903,9
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/08;Ppto;27520538,96
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/09;Ppto;42670983,73
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/10;Ppto;23448296,13
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/11;Ppto;29630162,48
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2023/12;Ppto;29882802,98
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/01;Ejecutado;2110805
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/01;Ppto;2634097,255
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/02;Ppto;1438314,673
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/03;Ppto;3228244,837
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/04;Ppto;2836434,513
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/05;Ppto;2854753,894
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/06;Ppto;1776770,72
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/07;Ppto;1785371,519
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/08;Ppto;1434453,988
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/09;Ppto;20368672,71
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/10;Ppto;1450157,667
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/11;Ppto;1516886,721
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2023/12;Ppto;1548311,329
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/01;Ejecutado;0
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/01;Ppto;514626,0089
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/02;Ppto;342762,4939
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/03;Ppto;313837,1517
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/04;Ppto;181301,8581
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/05;Ppto;191894,3541
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/06;Ppto;173082,9495
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/07;Ppto;154517,0772
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/08;Ppto;128130,7714
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/09;Ppto;114691,5209
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/10;Ppto;107736,2366
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/11;Ppto;98865,1962
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2023/12;Ppto;93591,73863
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/01;Ejecutado;3999285
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/01;Ppto;42596139,2
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/02;Ppto;32835460,89
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/03;Ppto;120696505,4
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/04;Ppto;50947992,62
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/05;Ppto;57969177,9
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/06;Ppto;50301894,22
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/07;Ppto;53437685,01
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/08;Ppto;67097170,09
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/09;Ppto;71595437,35
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/10;Ppto;81715235,38
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/11;Ppto;81112742,27
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2023/12;Ppto;78696160,01
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/01;Ejecutado;139752818
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/01;Ppto;217389099
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/02;Ppto;174831735,4
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/03;Ppto;670678705
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/04;Ppto;200834005
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/05;Ppto;216634848,1
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/06;Ppto;171653203,4
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/07;Ppto;201886397,7
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/08;Ppto;221053222,3
